Num	Guess	Average remaining answers
760	joint:	2.000
761	aside:	2.000
762	knife:	2.000
763	aging:	2.000
764	bugle:	2.000
765	cliff:	2.000
766	buggy:	2.000
767	light:	2.000
768	livid:	2.000
769	lipid:	2.000
770	lucid:	2.000
771	lying:	2.000
772	mafia:	2.000
773	lurid:	2.000
774	chick:	2.000
775	belie:	2.000
776	bigot:	2.000
777	might:	2.000
778	medic:	2.000
779	media:	2.000
780	brunt:	2.000
781	motif:	2.000
782	mound:	2.000
783	naive:	2.000
784	night:	2.000
785	noisy:	2.000
786	noise:	2.000
787	opine:	2.000
788	ought:	2.000
789	owing:	2.000
790	paint:	2.000
791	pagan:	2.000
792	oxide:	2.000
793	ovoid:	2.000
794	ovine:	2.000
795	organ:	2.000
796	piggy:	2.000
797	orbit:	2.000
798	plied:	2.000
799	point:	2.000
800	plaid:	2.000
801	pound:	2.000
802	pried:	2.000
803	print:	2.000
804	pride:	2.000
805	pubic:	2.000
806	ninny:	2.000
807	broil:	2.000
808	rainy:	2.000
809	rapid:	2.000
810	radio:	2.000
811	radii:	2.000
812	rigid:	2.000
813	round:	2.000
814	rugby:	2.000
815	saint:	2.000
816	right:	2.000
817	refit:	2.000
818	afire:	2.000
819	shunt:	2.000
820	sight:	2.000
821	skiff:	2.000
822	shrug:	2.000
823	slink:	2.000
824	sling:	2.000
825	slide:	2.000
826	smith:	2.000
827	alibi:	2.000
828	sniff:	2.000
829	solid:	2.000
830	sound:	2.000
831	snide:	2.000
832	serif:	2.000
833	spied:	2.000
834	spiny:	2.000
835	spine:	2.000
836	squib:	2.000
837	staid:	2.000
838	stiff:	2.000
839	stint:	2.000
840	stink:	2.000
841	sting:	2.000
842	sprig:	2.000
843	suing:	2.000
844	affix:	2.000
845	admit:	2.000
846	swish:	2.000
847	swing:	2.000
848	choil:	2.000
849	cadis:	2.000
850	ciggy:	2.000
851	chynd:	2.000
852	chuff:	2.000
853	chufa:	2.000
854	cadie:	2.000
855	caird:	2.000
856	calif:	2.000
857	clied:	2.000
858	clint:	2.000
859	cline:	2.000
860	clift:	2.000
861	calid:	2.000
862	cnida:	2.000
863	cobia:	2.000
864	cains:	2.000
865	canid:	2.000
866	coins:	2.000
867	cogon:	2.000
868	coifs:	2.000
869	caids:	2.000
870	taint:	2.000
871	tibia:	2.000
872	timid:	2.000
873	tight:	2.000
874	tribe:	2.000
875	tried:	2.000
876	triad:	2.000
877	cedis:	2.000
878	ceiba:	2.000
879	swine:	2.000
880	valid:	2.000
881	coxib:	2.000
882	craig:	2.000
883	wight:	2.000
884	chais:	2.000
885	crine:	2.000
886	crith:	2.000
887	cribs:	2.000
888	width:	2.000
889	vegan:	2.000
890	cuing:	2.000
891	cuish:	2.000
892	cuifs:	2.000
893	cupid:	2.000
894	cubit:	2.000
895	wound:	2.000
896	wring:	2.000
897	chias:	2.000
898	dalis:	2.000
899	danio:	2.000
900	delis:	2.000
901	demit:	2.000
902	doits:	2.000
903	dolia:	2.000
904	domic:	2.000
905	doily:	2.000
906	doilt:	2.000
907	dogie:	2.000
908	doris:	2.000
909	doric:	2.000
910	dinna:	2.000
911	dinic:	2.000
912	dunsh:	2.000
913	durns:	2.000
914	dunny:	2.000
915	dwile:	2.000
916	dunno:	2.000
917	dishy:	2.000
918	dunch:	2.000
919	dovie:	2.000
920	edits:	2.000
921	elint:	2.000
922	eliad:	2.000
923	eigne:	2.000
924	ejido:	2.000
925	enfix:	2.000
926	edile:	2.000
927	droil:	2.000
928	ergon:	2.000
929	ering:	2.000
930	erbia:	2.000
931	equid:	2.000
932	eughs:	2.000
933	duans:	2.000
934	dufus:	2.000
935	exing:	2.000
936	fakir:	2.000
937	fuzed:	2.000
938	fuzil:	2.000
939	gadis:	2.000
940	gains:	2.000
941	gaids:	2.000
942	gadid:	2.000
943	fused:	2.000
944	fusil:	2.000
945	furth:	2.000
946	fujis:	2.000
947	fundy:	2.000
948	funds:	2.000
949	fundi:	2.000
950	fumed:	2.000
951	fugus:	2.000
952	gelid:	2.000
953	fakie:	2.000
954	faqir:	2.000
955	geoid:	2.000
956	exine:	2.000
957	exfil:	2.000
958	gighe:	2.000
959	fenis:	2.000
960	feria:	2.000
961	fuddy:	2.000
962	filed:	2.000
963	filii:	2.000
964	frush:	2.000
965	folie:	2.000
966	fondu:	2.000
967	glift:	2.000
968	gliff:	2.000
969	glibs:	2.000
970	folic:	2.000
971	folia:	2.000
972	gobis:	2.000
973	fouds:	2.000
974	fouth:	2.000
975	gonif:	2.000
976	foxie:	2.000
977	fraim:	2.000
978	freit:	2.000
979	fount:	2.000
980	flued:	2.000
981	finny:	2.000
982	fohns:	2.000
983	fogou:	2.000
984	fogie:	2.000
985	grins:	2.000
986	grith:	2.000
987	grigs:	2.000
988	grift:	2.000
989	grund:	2.000
990	griff:	2.000
991	guids:	2.000
992	grids:	2.000
993	gride:	2.000
994	foehn:	2.000
995	hajis:	2.000
996	hakim:	2.000
997	firie:	2.000
998	gwine:	2.000
999	firth:	2.000
1000	harim:	2.000
1001	hauld:	2.000
1002	helio:	2.000
1003	hauns:	2.000
1004	hemic:	2.000
1005	hokis:	2.000
1006	haiku:	2.000
1007	hylic:	2.000
1008	iched:	2.000
1009	ident:	2.000
1010	igged:	2.000
1011	idant:	2.000
1012	imine:	2.000
1013	imino:	2.000
1014	imids:	2.000
1015	indie:	2.000
1016	infix:	2.000
1017	iring:	2.000
1018	irids:	2.000
1019	ivied:	2.000
1020	iodid:	2.000
1021	iodic:	2.000
1022	india:	2.000
1023	imido:	2.000
1024	imide:	2.000
1025	iliad:	2.000
1026	ibrik:	2.000
1027	jedis:	2.000
1028	homie:	2.000
1029	jerid:	2.000
1030	jihad:	2.000
1031	jiggy:	2.000
1032	haufs:	2.000
1033	hired:	2.000
1034	joins:	2.000
1035	hoick:	2.000
1036	horis:	2.000
1037	hived:	2.000
1038	houfs:	2.000
1039	houff:	2.000
1040	hizen:	2.000
1041	kadis:	2.000
1042	kaifs:	2.000
1043	kains:	2.000
1044	kalif:	2.000
1045	kaing:	2.000
1046	kaids:	2.000
1047	kafir:	2.000
1048	hiois:	2.000
1049	hinny:	2.000
1050	hiked:	2.000
1051	hinds:	2.000
1052	kefir:	2.000
1053	highs:	2.000
1054	hight:	2.000
1055	hides:	2.000
1056	hider:	2.000
1057	khadi:	2.000
1058	hided:	2.000
1059	khuds:	2.000
1060	kight:	2.000
1061	hiant:	2.000
1062	hedgy:	2.000
1063	hauds:	2.000
1064	haily:	2.000
1065	klieg:	2.000
1066	knish:	2.000
1067	hails:	2.000
1068	haiks:	2.000
1069	koine:	2.000
1070	haika:	2.000
1071	haick:	2.000
1072	fitna:	2.000
1073	hadji:	2.000
1074	fixit:	2.000
1075	kubie:	2.000
1076	kufis:	2.000
1077	fixed:	2.000
1078	fitch:	2.000
1079	firns:	2.000
1080	labis:	2.000
1081	labia:	2.000
1082	laird:	2.000
1083	laith:	2.000
1084	laich:	2.000
1085	laids:	2.000
1086	lagan:	2.000
1087	flics:	2.000
1088	laund:	2.000
1089	fired:	2.000
1090	fiqhs:	2.000
1091	fiord:	2.000
1092	finis:	2.000
1093	leish:	2.000
1094	fined:	2.000
1095	lepid:	2.000
1096	finds:	2.000
1097	filch:	2.000
1098	fiked:	2.000
1099	ligne:	2.000
1100	ligge:	2.000
1101	figos:	2.000
1102	fifis:	2.000
1103	fifed:	2.000
1104	fient:	2.000
1105	fecit:	2.000
1106	fides:	2.000
1107	feued:	2.000
1108	logon:	2.000
1109	loins:	2.000
1110	loids:	2.000
1111	logan:	2.000
1112	fichu:	2.000
1113	fiche:	2.000
1114	feuds:	2.000
1115	lound:	2.000
1116	fails:	2.000
1117	faiks:	2.000
1118	facia:	2.000
1119	luged:	2.000
1120	ludic:	2.000
1121	fadge:	2.000
1122	ezine:	2.000
1123	duffs:	2.000
1124	droid:	2.000
1125	dowie:	2.000
1126	doxie:	2.000
1127	mafic:	2.000
1128	maids:	2.000
1129	mains:	2.000
1130	madid:	2.000
1131	drail:	2.000
1132	dixit:	2.000
1133	dixie:	2.000
1134	divna:	2.000
1135	divis:	2.000
1136	denis:	2.000
1137	marid:	2.000
1138	diene:	2.000
1139	diffs:	2.000
1140	dicht:	2.000
1141	maund:	2.000
1142	didie:	2.000
1143	mbira:	2.000
1144	diane:	2.000
1145	meint:	2.000
1146	meith:	2.000
1147	meiny:	2.000
1148	meins:	2.000
1149	medii:	2.000
1150	desis:	2.000
1151	devis:	2.000
1152	metif:	2.000
1153	dhaba:	2.000
1154	dexie:	2.000
1155	midis:	2.000
1156	mihis:	2.000
1157	miggs:	2.000
1158	deshi:	2.000
1159	demic:	2.000
1160	chiao:	2.000
1161	mirid:	2.000
1162	davit:	2.000
1163	deids:	2.000
1164	deice:	2.000
1165	mobie:	2.000
1166	modii:	2.000
1167	degus:	2.000
1168	degum:	2.000
1169	deair:	2.000
1170	daris:	2.000
1171	dashi:	2.000
1172	daric:	2.000
1173	daiko:	2.000
1174	vapid:	2.000
1175	twine:	2.000
1176	abune:	2.000
1177	abuna:	2.000
1178	acids:	2.000
1179	acini:	2.000
1180	acing:	2.000
1181	muggs:	2.000
1182	muids:	2.000
1183	muggy:	2.000
1184	mugga:	2.000
1185	mudir:	2.000
1186	murid:	2.000
1187	adits:	2.000
1188	mucid:	2.000
1189	admix:	2.000
1190	bunia:	2.000
1191	nairu:	2.000
1192	naira:	2.000
1193	nandu:	2.000
1194	nails:	2.000
1195	naris:	2.000
1196	naunt:	2.000
1197	nazis:	2.000
1198	nduja:	2.000
1199	neive:	2.000
1200	nelis:	2.000
1201	nepit:	2.000
1202	neist:	2.000
1203	newie:	2.000
1204	nixed:	2.000
1205	noirs:	2.000
1206	nomic:	2.000
1207	nooit:	2.000
1208	nurdy:	2.000
1209	nurds:	2.000
1210	odist:	2.000
1211	ohmic:	2.000
1212	oidia:	2.000
1213	oldie:	2.000
1214	offie:	2.000
1215	ohias:	2.000
1216	oobit:	2.000
1217	ootid:	2.000
1218	oping:	2.000
1219	oribi:	2.000
1220	odium:	2.000
1221	oubit:	2.000
1222	odism:	2.000
1223	obias:	2.000
1224	nunny:	2.000
1225	numen:	2.000
1226	oxids:	2.000
1227	nuked:	2.000
1228	padis:	2.000
1229	nugae:	2.000
1230	pains:	2.000
1231	noris:	2.000
1232	nould:	2.000
1233	nudes:	2.000
1234	nuder:	2.000
1235	nuddy:	2.000
1236	nouny:	2.000
1237	nouns:	2.000
1238	noria:	2.000
1239	nonis:	2.000
1240	noily:	2.000
1241	noils:	2.000
1242	pavid:	2.000
1243	nixie:	2.000
1244	nodus:	2.000
1245	pedis:	2.000
1246	ngaio:	2.000
1247	peins:	2.000
1248	ninon:	2.000
1249	nides:	2.000
1250	nifty:	2.000
1251	nihil:	2.000
1252	nighs:	2.000
1253	niger:	2.000
1254	niffy:	2.000
1255	phial:	2.000
1256	phizz:	2.000
1257	phish:	2.000
1258	piend:	2.000
1259	piing:	2.000
1260	pight:	2.000
1261	niffs:	2.000
1262	nifes:	2.000
1263	niefs:	2.000
1264	nidus:	2.000
1265	nidor:	2.000
1266	nided:	2.000
1267	nidal:	2.000
1268	nicad:	2.000
1269	nazir:	2.000
1270	negus:	2.000
1271	pling:	2.000
1272	plink:	2.000
1273	natis:	2.000
1274	naric:	2.000
1275	naiks:	2.000
1276	podia:	2.000
1277	myoid:	2.000
1278	mysid:	2.000
1279	bunns:	2.000
1280	adunc:	2.000
1281	adios:	2.000
1282	afrit:	2.000
1283	adieu:	2.000
1284	aight:	2.000
1285	buist:	2.000
1286	buiks:	2.000
1287	adhan:	2.000
1288	addio:	2.000
1289	preif:	2.000
1290	aking:	2.000
1291	prigs:	2.000
1292	prink:	2.000
1293	prief:	2.000
1294	pudic:	2.000
1295	puggy:	2.000
